iter	Passed	Remaining
0	2	1136
1	5	1143
2	9	1203
3	15	1550
4	19	1555
5	25	1643
6	31	1778
7	35	1748
8	43	1909
9	49	1933
10	53	1875
11	59	1909
12	62	1866
13	73	2038
14	77	2001
15	82	1982
16	91	2069
17	96	2041
18	104	2103
19	110	2096
20	116	2098
21	121	2094
22	125	2050
23	128	2006
24	130	1962
25	134	1934
26	137	1901
27	140	1862
28	142	1825
29	145	1793
30	149	1779
31	152	1751
32	155	1731
33	158	1709
34	161	1683
35	164	1666
36	167	1641
37	169	1616
38	172	1593
39	174	1571
40	178	1558
41	180	1542
42	183	1524
43	186	1505
44	188	1485
45	191	1470
46	194	1464
47	197	1450
48	200	1438
49	203	1423
50	205	1407
51	208	1395
52	211	1381
53	213	1367
54	216	1355
55	218	1341
56	221	1330
57	223	1320
58	226	1310
59	229	1298
60	231	1288
61	234	1280
62	239	1279
63	242	1271
64	245	1266
65	248	1255
66	250	1246
67	253	1239
68	256	1229
69	258	1220
70	261	1211
71	264	1203
72	267	1196
73	269	1188
74	271	1178
75	274	1170
76	276	1161
77	279	1155
78	283	1151
79	286	1146
80	290	1143
81	292	1134
82	295	1127
83	297	1121
84	300	1113
85	303	1106
86	305	1098
87	308	1092
88	311	1088
89	313	1081
90	316	1073
91	318	1066
92	320	1059
93	323	1054
94	327	1052
95	331	1048
96	334	1045
97	337	1038
98	339	1033
99	342	1027
100	344	1020
101	347	1015
102	349	1008
103	353	1004
104	356	1001
105	359	996
106	361	991
107	364	985
108	367	979
109	375	988
110	380	991
111	384	987
112	387	983
113	389	978
114	393	975
115	397	972
116	400	968
117	404	967
118	408	964
119	412	961
120	423	975
121	427	974
122	430	970
123	433	965
124	436	960
125	439	955
126	441	950
127	444	944
128	447	940
129	450	935
130	453	930
131	455	924
132	458	919
133	465	924
134	470	924
135	474	921
136	477	917
137	481	913
138	484	909
139	487	904
140	490	900
141	492	895
142	495	890
143	498	886
144	501	881
145	504	877
146	508	875
147	512	872
148	515	868
149	518	863
150	522	860
151	525	856
152	528	852
153	531	848
154	534	845
155	538	841
156	541	837
157	544	834
158	547	830
159	552	828
160	555	824
161	559	821
162	563	818
163	567	817
164	572	815
165	576	812
166	580	809
167	583	805
168	586	801
169	589	797
170	591	792
171	594	788
172	597	784
173	601	780
174	604	776
175	607	773
176	611	770
177	614	766
178	616	761
179	619	756
180	621	752
181	624	747
182	626	743
183	628	738
184	631	733
185	633	729
186	635	724
187	638	719
188	641	716
189	644	711
190	646	707
191	649	703
192	652	699
193	655	695
194	657	691
195	660	687
196	662	682
197	665	678
198	667	674
199	670	670
200	673	666
201	676	662
202	678	658
203	681	654
204	683	650
205	685	645
206	687	641
207	690	637
208	692	633
209	694	628
210	698	625
211	701	621
212	703	617
213	707	615
214	710	611
215	713	607
216	716	603
217	718	600
218	721	596
219	723	592
220	726	588
221	729	584
222	731	580
223	734	576
224	736	573
225	739	569
226	742	565
227	745	562
228	747	558
229	750	554
230	752	550
231	755	547
232	758	543
233	761	539
234	763	535
235	765	532
236	767	528
237	770	524
238	773	520
239	776	517
240	778	513
241	781	510
242	784	506
243	786	502
244	789	499
245	791	495
246	794	491
247	796	488
248	798	484
249	801	480
250	803	477
251	806	473
252	808	469
253	811	466
254	813	462
255	817	459
256	819	456
257	822	452
258	825	449
259	827	445
260	830	442
261	832	438
262	834	434
263	837	431
264	839	427
265	842	424
266	844	420
267	847	417
268	849	413
269	852	410
270	854	406
271	857	403
272	860	400
273	863	397
274	866	394
275	869	390
276	872	387
277	874	383
278	877	380
279	879	376
280	882	373
281	884	370
282	887	366
283	889	363
284	892	360
285	894	356
286	896	353
287	899	349
288	901	346
289	904	343
290	907	340
291	910	336
292	913	333
293	915	330
294	919	327
295	921	323
296	924	320
297	926	317
298	929	313
299	932	310
300	934	307
301	937	304
302	939	300
303	941	297
304	943	293
305	945	290
306	948	287
307	951	284
308	953	280
309	956	277
310	958	274
311	960	271
312	963	267
313	965	264
314	968	261
315	970	258
316	972	254
317	975	251
318	977	248
319	979	244
320	982	241
321	984	238
322	986	235
323	988	231
324	992	228
325	994	225
326	997	222
327	999	219
328	1002	216
329	1004	213
330	1007	209
331	1009	206
332	1011	203
333	1014	200
334	1016	197
335	1018	194
336	1020	190
337	1022	187
338	1024	184
339	1027	181
340	1029	178
341	1031	174
342	1033	171
343	1035	168
344	1038	165
345	1040	162
346	1044	159
347	1046	156
348	1049	153
349	1051	150
350	1054	147
351	1056	144
352	1058	140
353	1060	137
354	1062	134
355	1065	131
356	1067	128
357	1069	125
358	1071	122
359	1073	119
360	1076	116
361	1078	113
362	1080	110
363	1083	107
364	1085	104
365	1087	101
366	1090	98
367	1092	95
368	1094	91
369	1097	88
370	1099	85
371	1101	82
372	1103	79
373	1105	76
374	1107	73
375	1110	70
376	1112	67
377	1114	64
378	1116	61
379	1118	58
380	1121	55
381	1124	52
382	1126	50
383	1128	47
384	1131	44
385	1134	41
386	1137	38
387	1139	35
388	1142	32
389	1144	29
390	1146	26
391	1149	23
392	1152	20
393	1154	17
394	1156	14
395	1159	11
396	1161	8
397	1163	5
398	1166	2
399	1168	0
